epsilon,n_intercepted,mae,std
0.1,1,14.840127076127338,14.098291315706799
0.1,5,7.197098203340781,5.502357496780644
0.1,20,3.8317075125287947,2.7918295143459
0.1,100,1.7102226972478212,1.3030737867857634
0.5,1,2.968025415225467,2.8196582631413594
0.5,5,1.4394196406681563,1.1004714993561289
0.5,20,0.766341502505759,0.5583659028691801
0.5,100,0.34204453944956426,0.26061475735715267
1.0,1,1.4840127076127336,1.40982913157068
1.0,5,0.7197098203340782,0.5502357496780644
1.0,20,0.3831707512528795,0.27918295143459004
1.0,100,0.17102226972478213,0.13030737867857634
2.0,1,0.7420063538063668,0.70491456578534
2.0,5,0.3598549101670391,0.2751178748390322
2.0,20,0.19158537562643976,0.13959147571729502
2.0,100,0.08551113486239106,0.06515368933928817
4.0,1,0.3710031769031834,0.35245728289267
4.0,5,0.17992745508351954,0.1375589374195161
4.0,20,0.09579268781321987,0.0697957378586475
4.0,100,0.04275556743119553,0.03257684466964408
8.0,1,0.1855015884515917,0.176228641446335
8.0,5,0.08996372754175977,0.06877946870975805
8.0,20,0.047896343906609934,0.03489786892932375
8.0,100,0.021377783715597766,0.01628842233482204
16.0,1,0.09275079422579585,0.0881143207231675
16.0,5,0.044981863770879885,0.03438973435487903
16.0,20,0.02394817195330497,0.017448934464661874
16.0,100,0.010688891857798878,0.008144211167411021
